date;Italy;US;India;Brazil
2020-01-22;0;1;0;0
2020-01-23;0;1;0;0
2020-01-24;0;2;0;0
2020-01-25;0;2;0;0
2020-01-26;0;5;0;0
2020-01-27;0;5;0;0
2020-01-28;0;5;0;0
2020-01-29;0;6;0;0
2020-01-30;0;6;1;0
2020-01-31;2;8;1;0
2020-02-01;2;8;1;0
2020-02-02;2;8;2;0
2020-02-03;2;11;3;0
2020-02-04;2;11;3;0
2020-02-05;2;11;3;0
2020-02-06;2;12;3;0
2020-02-07;3;12;3;0
2020-02-08;3;12;3;0
2020-02-09;3;12;3;0
2020-02-10;3;12;3;0
2020-02-11;3;13;3;0
2020-02-12;3;13;3;0
2020-02-13;3;14;3;0
2020-02-14;3;14;3;0
2020-02-15;3;14;3;0
2020-02-16;3;14;3;0
2020-02-17;3;14;3;0
2020-02-18;3;14;3;0
2020-02-19;3;14;3;0
2020-02-20;3;14;3;0
2020-02-21;20;16;3;0
2020-02-22;62;16;3;0
2020-02-23;155;16;3;0
2020-02-24;229;16;3;0
2020-02-25;322;16;3;0
2020-02-26;453;16;3;1
2020-02-27;655;17;3;1
2020-02-28;888;17;3;1
2020-02-29;1128;25;3;2
2020-03-01;1694;32;3;2
2020-03-02;2036;55;5;2
2020-03-03;2502;74;5;2
2020-03-04;3089;107;28;4
2020-03-05;3858;184;30;4
2020-03-06;4636;237;31;13
2020-03-07;5883;403;34;13
2020-03-08;7375;519;39;20
2020-03-09;9172;594;43;25
2020-03-10;10149;782;56;31
2020-03-11;12462;1147;62;38
2020-03-12;15113;1586;73;52
2020-03-13;17660;2219;82;151
2020-03-14;21157;2978;102;151
2020-03-15;24747;3212;113;162
2020-03-16;27980;4679;119;200
2020-03-17;31506;6512;142;321
2020-03-18;35713;9169;156;372
2020-03-19;41035;13663;194;621
2020-03-20;47021;20030;244;793
2020-03-21;53578;26025;330;1021
2020-03-22;59138;34944;396;1546
2020-03-23;63927;46096;499;1924
2020-03-24;69176;56714;536;2247
2020-03-25;74386;68841;657;2554
2020-03-26;80589;86662;727;2985
2020-03-27;86498;105253;887;3417
2020-03-28;92472;127417;987;3904
2020-03-29;97689;143544;1024;4256
2020-03-30;101739;165698;1251;4579
2020-03-31;105792;192079;1397;5717
2020-04-01;110574;223254;1998;6836
2020-04-02;115242;255530;2543;8044
2020-04-03;119827;287931;2567;9056
2020-04-04;124632;319776;3082;10360
2020-04-05;128948;349016;3588;11130
2020-04-06;132547;380798;4778;12161
2020-04-07;135586;410834;5311;14034
2020-04-08;139422;441897;5916;16170
2020-04-09;143626;477507;6725;18092
2020-04-10;147577;511790;7598;19638
2020-04-11;152271;540714;8446;20727
2020-04-12;156363;567022;9205;22192
2020-04-13;159516;594165;10453;23430
2020-04-14;162488;622493;11487;25262
2020-04-15;165155;648390;12322;28320
2020-04-16;168941;678028;13430;30425
2020-04-17;172434;711135;14352;33682
2020-04-18;175925;738464;15722;36658
2020-04-19;178972;763886;17615;38654
2020-04-20;181228;793970;18539;40743
2020-04-21;183957;820045;20080;43079
2020-04-22;187327;849926;21370;45757
2020-04-23;189973;881891;23077;50036
